Date,Open,High,Low,Close,Adj Close,Volume
2006-02-15,127.699997,128.470001,127.449997,128.330002,91.678391,1104400
2006-02-16,128.479996,129.399994,128.360001,129.320007,92.385612,496500
2006-02-17,129.309998,129.320007,128.800003,129.059998,92.199860,823100
2006-02-21,129.350006,129.570007,128.529999,128.699997,91.942696,801500
2006-02-22,128.990005,129.830002,128.880005,129.399994,92.442772,1041600
2006-02-23,129.410004,129.820007,128.940002,129.250000,92.335625,833300
2006-02-24,129.309998,129.669998,129.000000,129.559998,92.557068,1129300
2006-02-27,129.610001,130.210007,129.520004,129.699997,92.657097,887700
2006-02-28,129.339996,129.449997,128.330002,128.429993,91.749763,1787400
2006-03-01,128.800003,129.679993,128.710007,129.559998,92.557068,845200
2006-03-02,129.039993,129.600006,128.809998,129.479996,92.499931,863100
2006-03-03,128.949997,130.229996,128.839996,129.039993,92.185593,951100
2006-03-06,129.350006,129.369995,128.050003,128.330002,91.678391,663700
2006-03-07,128.050003,128.229996,127.599998,128.149994,91.549782,941100
2006-03-08,127.860001,128.619995,127.370003,128.470001,91.778397,1286000
2006-03-09,128.570007,128.839996,127.660004,127.699997,91.228302,488100
2006-03-10,127.919998,128.979996,127.620003,128.750000,91.978424,769700
2006-03-13,129.050003,129.330002,128.729996,129.050003,92.192764,1290200
2006-03-14,128.899994,130.449997,128.820007,130.330002,93.107155,1279100
2006-03-15,130.320007,131.070007,130.080002,130.919998,93.528641,1124800
2006-03-16,131.210007,131.669998,131.070007,131.179993,93.714386,488500
2006-03-17,131.460007,131.600006,131.130005,131.350006,93.835854,1631700
2006-03-20,131.449997,131.649994,130.979996,131.100006,93.657272,1275100
2006-03-21,131.080002,131.699997,130.190002,130.309998,93.092873,1029600
2006-03-22,130.240005,131.199997,130.179993,131.070007,93.635796,626800
2006-03-23,131.070007,131.070007,130.389999,130.850006,93.478653,1996600
2006-03-24,130.720001,131.270004,130.419998,130.929993,93.535812,1004100
2006-03-27,130.220001,130.470001,129.970001,130.250000,93.419617,636700
2006-03-28,130.199997,130.679993,129.259995,129.429993,92.831467,793600
2006-03-29,129.619995,130.649994,129.479996,130.250000,93.419617,1622200
2006-03-30,130.320007,131.130005,129.809998,130.130005,93.333534,1784600
2006-03-31,130.289993,130.419998,129.559998,129.919998,93.182907,1533900
2006-04-03,130.250000,131.039993,129.759995,129.899994,93.168579,1538300
2006-04-04,129.889999,130.880005,129.559998,130.800003,93.814117,1111400
2006-04-05,130.809998,131.399994,130.600006,131.270004,94.151184,1257100
